customer_id,customer_type,customer_tier,payment_amount,customer_country,nth_subscription,subscription_expires,subscription_length,subscription_started,subscriptions_purchased,outcome,customer_size,renewal_status
4165,Direct,Tier 2,362.26,UK,1,15/04/2021,1 Year,15/04/2020,2,Renewed,Small,New
4165,Direct,Tier 2,414.16,UK,2,23/04/2022,1 Year,23/04/2021,2,Renewed,Small,Renewal
4165,Direct,Tier 2,414.16,UK,3,22/04/2023,1 Year,06/04/2022,2,Renewed,Small,Renewal
4165,Direct,Tier 2,414.16,UK,4,23/04/2024,1 Year,23/04/2023,2,Renewed,Small,Renewal
4165,Direct,Tier 2,828.32,UK,5,23/04/2026,2 Year,23/04/2024,2,Ongoing,Small,Renewal
4318,Direct,Tier 2,5908.82,USA,1,07/07/2021,1 Year,07/07/2020,35,Renewed,Small,New
4318,Direct,Tier 2,10263.23,USA,2,07/07/2022,1 Year,02/06/2021,70,Renewed,Medium,Upgrade
4318,Direct,Tier 2,31659,USA,3,07/07/2024,2 Year,07/07/2022,100,Ongoing,Medium,Upgrade
4369,Direct,Tier 2,1086.79,Canada,1,04/08/2021,1 Year,04/08/2020,6,Churned,Small,New
4420,Direct,Tier 3,20909.65,France,1,18/08/2022,1 Year,18/08/2020,140,Renewed,Medium,New
4420,Direct,Tier 3,22482.22,France,2,18/08/2023,1 Year,18/08/2022,140,Renewed,Medium,Renewal
4420,Direct,Tier 3,34077.54,France,3,18/08/2024,1 Year,31/07/2023,280,Ongoing,Large,Upgrade
4471,Direct,Tier 2,905.66,Germany,1,10/09/2021,1 Year,10/09/2020,5,Churned,Small,New
4573,Direct,Tier 2,1035.41,Sweden,1,23/09/2021,1 Year,23/09/2020,5,Churned,Large,New
4624,Direct,Tier 2,28855.71,Australia,1,31/01/2023,1 Year,17/01/2022,550,Renewed#N/A,Large,New
4624,Direct,Tier 2,34287.91,Australia,2,01/05/2024,1 Year,01/05/2023,600,Ongoing,Large,Upgrade
4726,Direct,Tier 3,54551.83,Kenya,1,31/03/2027,3 Year,31/03/2024,200,Ongoing,Medium,New
